Customer_ID,Name,Email,Segment,Total_Spent,Transaction_Count
CUST-0171,Eve Nwachukwu,eve.green65@email.com,VIP,4894.67,15
CUST-0340,Jack Olatunji,jack.anderson915@email.com,VIP,8110.54,11
CUST-0413,Sam Young,sam.young715@email.com,VIP,7989.44,14
CUST-0100,Diana Williams,diana.williams203@email.com,VIP,4309.78,11
CUST-0344,Daniel Obaje,daniel.martinez767@email.com,VIP,7545.64,12
CUST-0295,Mia Davis,mia.davis909@email.com,VIP,5457.37,11
CUST-0267,James Olatunji,james.anderson182@email.com,VIP,5975.75,11
CUST-0265,Matthew Smith,matthew.smith140@email.com,VIP,3519.94,10
CUST-0188,Daniel Owem,daniel.gonzalez260@email.com,VIP,5288.56,14
CUST-0061,Charlotte Adewale,charlotte.moore489@email.com,VIP,5337.77,12
CUST-0166,Diana Garcia,diana.garcia453@email.com,VIP,5501.00,12
CUST-0395,Emma Johnson,emma.johnson719@email.com,VIP,7045.75,13
CUST-0137,Rachel Lewis,rachel.lewis594@email.com,VIP,5960.22,13
CUST-0256,Ethan Wright,ethan.wright370@email.com,VIP,8074.94,14
CUST-0478,Daniel Thompson,daniel.thompson609@email.com,VIP,7939.11,12
CUST-0039,Bob Lopez,bob.lopez954@email.com,VIP,7588.56,13
CUST-0095,Peter Williams,peter.williams823@email.com,VIP,4367.95,10
CUST-0374,Charlotte Obaje,charlotte.martinez647@email.com,VIP,6113.28,12
CUST-0491,Sophia Martin,sophia.martin485@email.com,VIP,5468.83,15
CUST-0427,Isabella Brown,isabella.brown232@email.com,VIP,5167.37,11
CUST-0311,Zack Davis,zack.davis696@email.com,VIP,4328.78,10
CUST-0155,Eve Taylor,eve.taylor474@email.com,VIP,6273.32,14
CUST-0158,Ella Taylor,ella.taylor864@email.com,VIP,2697.88,11
CUST-0145,Tara Hall,tara.hall469@email.com,VIP,3396.26,12
CUST-0403,Bob Nwachukwu,bob.green550@email.com,VIP,4410.12,15
CUST-0042,Ava Scott,ava.scott213@email.com,High Value,989.79,11
CUST-0193,Andrew White,andrew.white578@email.com,VIP,3686.50,15
CUST-0202,Matthew Garcia,matthew.garcia231@email.com,VIP,8694.32,15
CUST-0324,Kate Thompson,kate.thompson880@email.com,VIP,8335.48,14
CUST-0220,Amelia Robinson,amelia.robinson895@email.com,VIP,5360.11,15
CUST-0025,Joseph Lopez,joseph.lopez808@email.com,VIP,6270.28,11
CUST-0070,Bob Garcia,bob.garcia650@email.com,VIP,5221.41,14
CUST-0357,Ethan Rodriguez,ethan.rodriguez450@email.com,VIP,4948.53,12
CUST-0114,James Walker,james.walker800@email.com,VIP,5263.39,15
CUST-0317,David Obaje,david.martinez97@email.com,VIP,4352.05,14
CUST-0004,Mason Clark,mason.clark752@email.com,VIP,4914.07,14
CUST-0122,Ivy Young,ivy.young583@email.com,VIP,4605.50,15
CUST-0185,Lucas Brown,lucas.brown729@email.com,VIP,6004.43,14
CUST-0296,Quinn Davis,quinn.davis681@email.com,VIP,5199.11,12
CUST-0247,Wendy Harris,wendy.harris627@email.com,VIP,7274.59,15
CUST-0439,Xavier Young,xavier.young12@email.com,VIP,5293.76,14
CUST-0067,Sam Hernandez,sam.hernandez1@email.com,VIP,4246.28,14
CUST-0230,Isabella Wright,isabella.wright677@email.com,VIP,2361.49,10
CUST-0378,Kate Clark,kate.clark342@email.com,VIP,6294.52,14
CUST-0108,Sophia Robinson,sophia.robinson149@email.com,VIP,7484.84,15
CUST-0449,Sophia Miller,sophia.miller522@email.com,VIP,4743.94,10
CUST-0273,Jack Obaje,jack.martinez638@email.com,VIP,4336.90,11
CUST-0128,Ethan Obaje,ethan.martinez882@email.com,VIP,4531.24,13
CUST-0440,Ava Obaje,ava.martinez785@email.com,VIP,3835.91,10
CUST-0291,Evelyn Martin,evelyn.martin585@email.com,VIP,3432.02,14
CUST-0055,Olivia Miller,olivia.miller99@email.com,VIP,3094.68,15
CUST-0059,Eve Allen,eve.allen3@email.com,VIP,9147.60,12
CUST-0177,Mia Harris,mia.harris815@email.com,VIP,2478.21,10
CUST-0476,Mia Owem,mia.gonzalez308@email.com,VIP,5738.06,12
CUST-0479,Victor Hall,victor.hall801@email.com,VIP,8122.39,15
CUST-0485,Charlotte Thompson,charlotte.thompson522@email.com,VIP,3298.06,15
CUST-0376,Alice Walker,alice.walker684@email.com,VIP,5995.33,11
CUST-0361,Daniel Olatunji,daniel.anderson633@email.com,VIP,4137.08,11
CUST-0409,Joseph Williams,joseph.williams816@email.com,VIP,4395.85,15
CUST-0053,James Williams,james.williams200@email.com,VIP,4245.53,14
CUST-0246,Abigail Thompson,abigail.thompson620@email.com,VIP,5398.72,14
CUST-0249,Henry Scott,henry.scott439@email.com,VIP,4960.07,12
CUST-0094,Peter Walker,peter.walker263@email.com,VIP,7258.21,11
CUST-0244,Charlie Young,charlie.young236@email.com,VIP,7449.44,13
CUST-0022,Olivia Jones,olivia.jones531@email.com,VIP,6858.86,11
CUST-0112,Lucas Thomas,lucas.thomas61@email.com,VIP,4568.03,10
CUST-0465,Grace Brown,grace.brown582@email.com,VIP,1934.52,10
CUST-0469,David Lopez,david.lopez544@email.com,VIP,3087.01,11
CUST-0278,Daniel Wright,daniel.wright842@email.com,VIP,5052.89,10
CUST-0400,Zack Obaje,zack.martinez633@email.com,VIP,4174.85,13
CUST-0385,Zack Jackson,zack.jackson39@email.com,VIP,6821.63,14
CUST-0098,Noah Robinson,noah.robinson745@email.com,VIP,4811.67,13
CUST-0280,Abigail Owem,abigail.gonzalez243@email.com,VIP,2496.65,14
CUST-0287,Ella Martin,ella.martin638@email.com,VIP,8580.47,11
CUST-0397,Evelyn Walker,evelyn.walker291@email.com,VIP,6872.60,15
CUST-0339,Yara Brown,yara.brown598@email.com,VIP,3620.82,12
CUST-0445,Matthew Miller,matthew.miller209@email.com,VIP,5756.21,13
CUST-0078,Ethan Nwachukwu,ethan.green226@email.com,VIP,2838.17,11
CUST-0130,Evelyn Lopez,evelyn.lopez339@email.com,VIP,5751.90,14
CUST-0466,Lucas Davis,lucas.davis432@email.com,VIP,6869.49,15
CUST-0488,Daniel Martin,daniel.martin281@email.com,VIP,7943.78,12
CUST-0248,William Nwachukwu,william.green373@email.com,VIP,8522.39,11
CUST-0328,Zack Miller,zack.miller704@email.com,VIP,7234.25,12
CUST-0470,Abigail Hall,abigail.hall500@email.com,VIP,6162.92,13
CUST-0012,Victor Rodriguez,victor.rodriguez60@email.com,VIP,6514.61,11
CUST-0089,Ava Rodriguez,ava.rodriguez836@email.com,VIP,5461.31,12
CUST-0329,Ethan Brown,ethan.brown688@email.com,VIP,6278.07,10
CUST-0429,Zack Nwachukwu,zack.green441@email.com,VIP,6639.60,15
CUST-0447,Lucas Olatunji,lucas.anderson713@email.com,VIP,8348.25,15
CUST-0024,Grace Scott,grace.scott592@email.com,VIP,8477.21,14
CUST-0198,Yara Walker,yara.walker647@email.com,VIP,4851.55,10
CUST-0333,Peter Lee,peter.lee35@email.com,VIP,6087.79,14
CUST-0346,Sam Lopez,sam.lopez589@email.com,VIP,2420.85,11
CUST-0086,Charlotte Olatunji,charlotte.anderson873@email.com,VIP,7360.04,12
CUST-0250,Yara Hall,yara.hall59@email.com,VIP,2284.28,11
CUST-0321,Frank Jones,frank.jones435@email.com,VIP,4076.74,14
CUST-0411,Frank Johnson,frank.johnson463@email.com,VIP,2912.58,11
CUST-0457,Tara White,tara.white466@email.com,VIP,5655.23,13
CUST-0054,Rachel Garcia,rachel.garcia238@email.com,VIP,7344.94,14
CUST-0107,William King,william.king931@email.com,VIP,3826.28,11
CUST-0331,Alice Olatunji,alice.anderson884@email.com,VIP,9691.66,15
CUST-0497,Kate Owem,kate.gonzalez592@email.com,VIP,3054.30,12
CUST-0281,Ava Johnson,ava.johnson450@email.com,VIP,4265.99,10
CUST-0068,Jack Brown,jack.brown626@email.com,VIP,3687.17,11
CUST-0129,Abigail Obaje,abigail.martinez837@email.com,VIP,4843.50,11
CUST-0359,Quinn Jones,quinn.jones294@email.com,VIP,5687.50,15
CUST-0401,Jack Jackson,jack.jackson438@email.com,VIP,3659.15,11
CUST-0135,Andrew Owem,andrew.gonzalez507@email.com,VIP,4328.39,13
CUST-0300,Joseph Lewis,joseph.lewis556@email.com,VIP,5478.67,12
CUST-0332,Noah Thompson,noah.thompson881@email.com,VIP,1158.09,10
CUST-0428,Ethan Hernandez,ethan.hernandez26@email.com,VIP,5991.17,13
CUST-0494,Charlotte Lopez,charlotte.lopez857@email.com,VIP,2845.81,14
CUST-0139,Mason Harris,mason.harris749@email.com,VIP,4337.01,13
CUST-0314,David Robinson,david.robinson131@email.com,VIP,4848.91,12
CUST-0052,Benjamin Obaje,benjamin.martinez363@email.com,VIP,7018.68,11
CUST-0237,Sophia Allen,sophia.allen397@email.com,VIP,6726.38,10
