Customer_ID,Name,Email,Days_Since_Last_Purchase,Historic_CLV
CUST-0344,Daniel Obaje,daniel.martinez767@email.com,163,7545.64
CUST-0166,Diana Garcia,diana.garcia453@email.com,109,5501.00
CUST-0395,Emma Johnson,emma.johnson719@email.com,164,7045.75
CUST-0095,Peter Williams,peter.williams823@email.com,180,4367.95
CUST-0491,Sophia Martin,sophia.martin485@email.com,154,5468.83
CUST-0357,Ethan Rodriguez,ethan.rodriguez450@email.com,127,4948.53
CUST-0230,Isabella Wright,isabella.wright677@email.com,178,2361.49
CUST-0449,Sophia Miller,sophia.miller522@email.com,223,4743.94
CUST-0273,Jack Obaje,jack.martinez638@email.com,210,4336.90
CUST-0440,Ava Obaje,ava.martinez785@email.com,97,3835.91
CUST-0485,Charlotte Thompson,charlotte.thompson522@email.com,122,3298.06
CUST-0249,Henry Scott,henry.scott439@email.com,105,4960.07
CUST-0022,Olivia Jones,olivia.jones531@email.com,123,6858.86
CUST-0098,Noah Robinson,noah.robinson745@email.com,96,4811.67
CUST-0280,Abigail Owem,abigail.gonzalez243@email.com,111,2496.65
CUST-0339,Yara Brown,yara.brown598@email.com,123,3620.82
CUST-0445,Matthew Miller,matthew.miller209@email.com,117,5756.21
CUST-0424,Daniel Jones,daniel.jones48@email.com,166,2704.57
CUST-0261,Olivia Martin,olivia.martin41@email.com,114,4339.19
CUST-0235,Grace Wright,grace.wright822@email.com,94,4665.03
CUST-0294,Bob Lopez,bob.lopez934@email.com,130,3264.80
CUST-0430,Mia White,mia.white407@email.com,95,5597.15
CUST-0160,David Young,david.young118@email.com,169,4825.96
CUST-0486,Alice Wilson,alice.wilson929@email.com,105,3501.46
CUST-0252,Ava Nwachukwu,ava.green682@email.com,104,5818.69
CUST-0463,Zack Wright,zack.wright881@email.com,93,4084.23
CUST-0309,Frank Walker,frank.walker334@email.com,99,5698.99
CUST-0450,Peter Allen,peter.allen989@email.com,125,5490.95
CUST-0352,Victor Brown,victor.brown65@email.com,99,4076.22
CUST-0379,Matthew Harris,matthew.harris314@email.com,115,2933.56
CUST-0157,William Hall,william.hall703@email.com,157,6398.97
CUST-0175,Xavier Thompson,xavier.thompson488@email.com,127,6076.00
CUST-0199,Daniel Clark,daniel.clark436@email.com,103,2710.55
CUST-0433,Victor Taylor,victor.taylor923@email.com,111,2436.47
CUST-0431,Evelyn Brown,evelyn.brown765@email.com,208,5266.31
CUST-0087,Quinn Robinson,quinn.robinson505@email.com,114,3766.15
CUST-0062,Charlotte Taylor,charlotte.taylor83@email.com,96,2361.36
CUST-0080,Ava Wilson,ava.wilson694@email.com,126,2244.74
CUST-0146,Jack Clark,jack.clark929@email.com,115,5482.91
CUST-0210,Sam Clark,sam.clark125@email.com,109,4094.01
CUST-0243,Eve Brown,eve.brown307@email.com,148,3155.29
CUST-0310,William Miller,william.miller877@email.com,109,4428.40
CUST-0073,Quinn Garcia,quinn.garcia219@email.com,109,6898.44
CUST-0217,Henry Williams,henry.williams735@email.com,99,5030.98
CUST-0405,Lucas Johnson,lucas.johnson758@email.com,182,2674.17
CUST-0496,Joseph Lee,joseph.lee704@email.com,92,4190.15
